                   clothType  UpperType  UpperLength  UpperModel  UpperCollar  UpperSleeveLength  UpperShouders  UpperCuff  UpperOpening  UpperMaterial  UpperPattern  TrousersType  TrousersWaist  TrousersLength  TrousersModel  TrousersMaterial  TrousersPattern  SkirtType  SkirtWaist  SkirtLength  SkirtFold  SkirtMaterial  SkirtPattern
clothType           1.000000  -0.197894    -0.476186   -0.463929    -0.381561          -0.440129      -0.224856  -0.296101     -0.430050      -0.439702     -0.279092      0.410359       0.454537        0.427447       0.458184          0.457444         0.422829   0.630082    0.634313     0.601009   0.624711       0.626296      0.592693
UpperType          -0.197894   1.000000     0.714727    0.652711     0.702629           0.554238       0.678514   0.573663      0.510548       0.683900      0.638220     -0.505419      -0.651939       -0.620999      -0.602026         -0.646392        -0.548153   0.150727    0.115673     0.142896   0.120494       0.136838      0.132580
UpperLength        -0.476186   0.714727     1.000000    0.917110     0.838312           0.834421       0.687422   0.682992      0.776461       0.867597      0.710089     -0.671027      -0.840748       -0.796092      -0.785291         -0.837357        -0.724968  -0.001749   -0.016303    -0.001914  -0.018136      -0.026435     -0.010406
UpperModel         -0.463929   0.652711     0.917110    1.000000     0.791494           0.789756       0.654912   0.669110      0.735742       0.833526      0.701858     -0.645253      -0.804260       -0.761623      -0.747605         -0.799578        -0.686949  -0.028461   -0.042209    -0.013680  -0.040760      -0.030812     -0.020703
UpperCollar        -0.381561   0.702629     0.838312    0.791494     1.000000           0.747596       0.759875   0.717806      0.713849       0.823795      0.651858     -0.608217      -0.767867       -0.730804      -0.714531         -0.762171        -0.652465   0.020578    0.008513     0.039931   0.012760       0.033514      0.029785
UpperSleeveLength  -0.440129   0.554238     0.834421    0.789756     0.747596           1.000000       0.510043   0.445698      0.762537       0.740523      0.602665     -0.575867      -0.725077       -0.685164      -0.676380         -0.722143        -0.615618  -0.051404   -0.062784    -0.046373  -0.061280      -0.048690     -0.038413
UpperShouders      -0.224856   0.678514     0.687422    0.654912     0.759875           0.510043       1.000000   0.786197      0.555582       0.720199      0.602459     -0.510821      -0.653287       -0.626279      -0.599647         -0.645833        -0.538395   0.079128    0.078511     0.118804   0.085344       0.114306      0.100466
UpperCuff          -0.296101   0.573663     0.682992    0.669110     0.717806           0.445698       0.786197   1.000000      0.511396       0.730620      0.595304     -0.515333      -0.652276       -0.625239      -0.600324         -0.645482        -0.543986   0.022757    0.019229     0.055069   0.028794       0.044547      0.041787
UpperOpening       -0.430050   0.510548     0.776461    0.735742     0.713849           0.762537       0.555582   0.511396      1.000000       0.719756      0.530064     -0.537869      -0.679203       -0.645134      -0.635236         -0.676092        -0.573166  -0.057515   -0.070223    -0.049573  -0.069176      -0.050919     -0.046230
UpperMaterial      -0.439702   0.683900     0.867597    0.833526     0.823795           0.740523       0.720199   0.730620      0.719756       1.000000      0.712998     -0.633462      -0.793484       -0.754220      -0.738958         -0.787868        -0.677240  -0.018804   -0.029487    -0.012692  -0.024491       0.018924      0.001695
UpperPattern       -0.279092   0.638220     0.710089    0.701858     0.651858           0.602665       0.602459   0.595304      0.530064       0.712998      1.000000     -0.522440      -0.666733       -0.634952      -0.619053         -0.660708        -0.551243   0.084575    0.061474     0.052094   0.065040       0.089396      0.160406
TrousersType        0.410359  -0.505419    -0.671027   -0.645253    -0.608217          -0.575867      -0.510821  -0.515333     -0.537869      -0.633462     -0.522440      1.000000       0.782616        0.681835       0.734197          0.767606         0.724620  -0.163139   -0.164705    -0.155748  -0.161668      -0.162959     -0.152119
